feature,mean_abs_shap,segment,horizon
inc_30d_sum,0.05954878765514789,infra1_thr3,24h
day_of_week,0.04542244414502334,infra1_thr3,24h
month,0.03182210051544888,infra1_thr3,24h
succ_30d_sum,0.02108220483862414,infra1_thr3,24h
avg_inter_attack_interval,0.01650962226486544,infra1_thr3,24h
had_incident_prev_3d,0.01165399384813668,infra1_thr3,24h
type_inc_30d_sum,0.008518603590762775,infra1_thr3,24h
streak_quiet_days,0.007614184145963318,infra1_thr3,24h
succ_7d_sum,0.006763014727639853,infra1_thr3,24h
day_of_month,0.006009839927071786,infra1_thr3,24h
days_since_last_incident,0.005686838949763531,infra1_thr3,24h
attack_rate_trend,0.0051197193558686635,infra1_thr3,24h
days_since_last_success,0.0038423752914928918,infra1_thr3,24h
success_ratio_7d,0.0014812585793711347,infra1_thr3,24h
inc_3d_sum,0.0011451305391763486,infra1_thr3,24h
inc_7d_sum,7.425543044165384e-05,infra1_thr3,24h
lag_inc_1d,0.0,infra1_thr3,24h
lag_success_2d,0.0,infra1_thr3,24h
lag_success_1d,0.0,infra1_thr3,24h
lag_inc_3d,0.0,infra1_thr3,24h
lag_inc_2d,0.0,infra1_thr3,24h
had_incident_prev_7d,0.0,infra1_thr3,24h
had_incident_prev_1d,0.0,infra1_thr3,24h
type_inc_7d_sum,0.0,infra1_thr3,24h
streak_active_days,0.0,infra1_thr3,24h
