feature,mean_abs_shap,segment,horizon
inc_30d_sum,0.136473552298718,infra1_thr6,24h
type_inc_30d_sum,0.13225163501858384,infra1_thr6,24h
avg_inter_attack_interval,0.10977317330554033,infra1_thr6,24h
succ_30d_sum,0.08771841697926339,infra1_thr6,24h
month,0.07728720278149064,infra1_thr6,24h
days_since_last_incident,0.0753639334006762,infra1_thr6,24h
streak_quiet_days,0.05611945485837329,infra1_thr6,24h
inc_7d_sum,0.052711696509891666,infra1_thr6,24h
day_of_week,0.05039080084645472,infra1_thr6,24h
day_of_month,0.04005994342309259,infra1_thr6,24h
had_incident_prev_7d,0.02871154044213348,infra1_thr6,24h
succ_7d_sum,0.027029936401102427,infra1_thr6,24h
inc_3d_sum,0.019770990644626698,infra1_thr6,24h
type_inc_7d_sum,0.01884916793689582,infra1_thr6,24h
success_ratio_7d,0.015244289918180696,infra1_thr6,24h
attack_rate_trend,0.014569045093203871,infra1_thr6,24h
had_incident_prev_1d,0.01403133459139456,infra1_thr6,24h
had_incident_prev_3d,0.0023559423959863554,infra1_thr6,24h
lag_inc_1d,0.0,infra1_thr6,24h
streak_active_days,0.0,infra1_thr6,24h
