feature,mean_abs_shap,segment,horizon
month,0.5639624454229087,infra2_thr1,7d
type_inc_30d_sum,0.23566107988420593,infra2_thr1,7d
avg_inter_attack_interval,0.20909583171284332,infra2_thr1,7d
attack_rate_trend,0.10573514009930805,infra2_thr1,7d
day_of_month,0.086186901058535,infra2_thr1,7d
type_inc_7d_sum,0.0752310850830215,infra2_thr1,7d
days_since_last_incident,0.056417374250688664,infra2_thr1,7d
succ_30d_sum,0.053852281001239045,infra2_thr1,7d
streak_quiet_days,0.04036851951024701,infra2_thr1,7d
days_since_last_success,0.03911508213602695,infra2_thr1,7d
inc_30d_sum,0.032456022472901115,infra2_thr1,7d
succ_7d_sum,0.016827983939123714,infra2_thr1,7d
success_ratio_7d,0.013136778115812243,infra2_thr1,7d
inc_7d_sum,0.008276947424209855,infra2_thr1,7d
day_of_week,0.007257590528868623,infra2_thr1,7d
had_incident_prev_7d,0.007191050289358475,infra2_thr1,7d
inc_3d_sum,0.004294198556042296,infra2_thr1,7d
had_incident_prev_3d,0.004072978311738262,infra2_thr1,7d
lag_inc_3d,0.002481842114675822,infra2_thr1,7d
had_incident_prev_1d,0.0012985402899169465,infra2_thr1,7d
lag_inc_2d,0.00019681448881482734,infra2_thr1,7d
lag_success_2d,0.0,infra2_thr1,7d
lag_success_1d,0.0,infra2_thr1,7d
lag_inc_1d,0.0,infra2_thr1,7d
streak_active_days,0.0,infra2_thr1,7d
