ablated_group,delta_test_pr_auc,delta_test_roc_auc,delta_test_f1
calendar,-0.062068411812958135,-0.08430068289298613,-0.025233378375705908
rolling_success,-0.04876984483812504,0.023550770111814927,-0.020705661334098093
history_flags,-0.03900646226727087,0.016857363803785663,0.0014840008555640956
other,-0.0344969028372688,0.04026309745412673,0.06848551785708111
rolling_incidents,-0.018286696202912275,-0.010685262331143641,0.015415693640640335
lags,0.09137498188951694,0.14856398713380994,0.001219683428775269
