ablated_group,delta_test_pr_auc,delta_test_roc_auc,delta_test_f1
lags,-0.11092632747929931,-0.1371403073076526,-0.0798441788235821
rolling_success,-0.10680038211417638,-0.1681588326172724,-0.04221238088740875
history_flags,-0.10336253388588364,-0.18206973530122472,0.0026875956817574895
rolling_incidents,-0.10024197958485444,-0.11444335537740181,-0.14183248291714934
other,-0.07625937807368477,-0.10588814873013426,0.0953697278699671
calendar,-0.07114498966602435,-0.08353876728602883,0.014385446203628008
