feature,mean_abs_shap,segment,horizon
avg_inter_attack_interval,0.24584587220613321,infra1_thr5,24h
day_of_month,0.17925722020396717,infra1_thr5,24h
type_inc_30d_sum,0.16225218328536603,infra1_thr5,24h
succ_30d_sum,0.08987408434683046,infra1_thr5,24h
inc_3d_sum,0.08861381007090066,infra1_thr5,24h
day_of_week,0.07453402054841302,infra1_thr5,24h
type_inc_7d_sum,0.06991928006536745,infra1_thr5,24h
month,0.06866182842225078,infra1_thr5,24h
had_incident_prev_3d,0.06708391338423408,infra1_thr5,24h
streak_quiet_days,0.06383975299230371,infra1_thr5,24h
inc_30d_sum,0.052244892232846056,infra1_thr5,24h
days_since_last_incident,0.051664050491734545,infra1_thr5,24h
had_incident_prev_7d,0.043202577189911426,infra1_thr5,24h
attack_rate_trend,0.03888022961187301,infra1_thr5,24h
success_ratio_7d,0.037089665212555474,infra1_thr5,24h
inc_7d_sum,0.018839487107395036,infra1_thr5,24h
succ_7d_sum,0.008767388535304685,infra1_thr5,24h
streak_active_days,0.002732424295119764,infra1_thr5,24h
had_incident_prev_1d,0.0,infra1_thr5,24h
