feature,mean_abs_shap,segment,horizon
day_of_month,0.0045073317559426096,infra2_thr4,24h
type_inc_7d_sum,0.003830653889786221,infra2_thr4,24h
succ_7d_sum,0.0021038740096056274,infra2_thr4,24h
inc_7d_sum,0.0020519877806819548,infra2_thr4,24h
succ_30d_sum,0.0012581453582272183,infra2_thr4,24h
lag_inc_1d,0.0,infra2_thr4,24h
day_of_week,0.0,infra2_thr4,24h
month,0.0,infra2_thr4,24h
inc_30d_sum,0.0,infra2_thr4,24h
had_incident_prev_1d,0.0,infra2_thr4,24h
had_incident_prev_3d,0.0,infra2_thr4,24h
inc_3d_sum,0.0,infra2_thr4,24h
had_incident_prev_7d,0.0,infra2_thr4,24h
days_since_last_incident,0.0,infra2_thr4,24h
type_inc_30d_sum,0.0,infra2_thr4,24h
avg_inter_attack_interval,0.0,infra2_thr4,24h
attack_rate_trend,0.0,infra2_thr4,24h
streak_active_days,0.0,infra2_thr4,24h
streak_quiet_days,0.0,infra2_thr4,24h
success_ratio_7d,0.0,infra2_thr4,24h
