feature,mean_abs_shap,segment,horizon
succ_30d_sum,0.7702351224286634,infra3_thr3,7d
avg_inter_attack_interval,0.3664174115134462,infra3_thr3,7d
inc_30d_sum,0.12815794474194606,infra3_thr3,7d
month,0.10609055346768259,infra3_thr3,7d
type_inc_30d_sum,0.09143153588330469,infra3_thr3,7d
type_inc_7d_sum,0.06128245370275298,infra3_thr3,7d
day_of_month,0.059329756987703854,infra3_thr3,7d
days_since_last_incident,0.049995082412908766,infra3_thr3,7d
attack_rate_trend,0.013178497753454239,infra3_thr3,7d
success_ratio_7d,0.012448639991962608,infra3_thr3,7d
had_incident_prev_7d,0.012154601938792491,infra3_thr3,7d
inc_7d_sum,0.010993729198382955,infra3_thr3,7d
had_incident_prev_3d,0.007050676636897249,infra3_thr3,7d
day_of_week,0.006895430033328829,infra3_thr3,7d
streak_quiet_days,0.006115687958386592,infra3_thr3,7d
inc_3d_sum,0.003973557522891697,infra3_thr3,7d
succ_7d_sum,0.0018728500309883316,infra3_thr3,7d
had_incident_prev_1d,0.0014648999546888364,infra3_thr3,7d
streak_active_days,0.00022068611754114776,infra3_thr3,7d
lag_inc_1d,0.0,infra3_thr3,7d
