feature,mean_abs_shap,segment,horizon
inc_30d_sum,0.04245747379234884,infra4_thr3,7d
month,0.038176768154688866,infra4_thr3,7d
day_of_month,0.016059615825914475,infra4_thr3,7d
succ_30d_sum,0.014639521769598141,infra4_thr3,7d
streak_quiet_days,0.010946891966205461,infra4_thr3,7d
type_inc_7d_sum,0.010534733687352818,infra4_thr3,7d
attack_rate_trend,0.010359410558589802,infra4_thr3,7d
type_inc_30d_sum,0.010055421364568794,infra4_thr3,7d
days_since_last_incident,0.007703223357340055,infra4_thr3,7d
day_of_week,0.0029896600369036337,infra4_thr3,7d
had_incident_prev_3d,0.0013712440634516137,infra4_thr3,7d
inc_7d_sum,0.0007187619237758903,infra4_thr3,7d
lag_inc_1d,0.0,infra4_thr3,7d
had_incident_prev_1d,0.0,infra4_thr3,7d
inc_3d_sum,0.0,infra4_thr3,7d
succ_7d_sum,0.0,infra4_thr3,7d
had_incident_prev_7d,0.0,infra4_thr3,7d
avg_inter_attack_interval,0.0,infra4_thr3,7d
streak_active_days,0.0,infra4_thr3,7d
success_ratio_7d,0.0,infra4_thr3,7d
