feature,mean_abs_shap,segment,horizon
inc_30d_sum,0.0672032310697472,infra2_thr5,7d
succ_30d_sum,0.05609828370913713,infra2_thr5,7d
day_of_month,0.023847513868694926,infra2_thr5,7d
avg_inter_attack_interval,0.021961887607327493,infra2_thr5,7d
days_since_last_incident,0.012089146208325548,infra2_thr5,7d
type_inc_7d_sum,0.01207837707044386,infra2_thr5,7d
day_of_week,0.007190633711628845,infra2_thr5,7d
month,0.004265621204283683,infra2_thr5,7d
lag_inc_1d,0.0,infra2_thr5,7d
succ_7d_sum,0.0,infra2_thr5,7d
inc_7d_sum,0.0,infra2_thr5,7d
inc_3d_sum,0.0,infra2_thr5,7d
had_incident_prev_7d,0.0,infra2_thr5,7d
had_incident_prev_3d,0.0,infra2_thr5,7d
had_incident_prev_1d,0.0,infra2_thr5,7d
type_inc_30d_sum,0.0,infra2_thr5,7d
attack_rate_trend,0.0,infra2_thr5,7d
streak_active_days,0.0,infra2_thr5,7d
streak_quiet_days,0.0,infra2_thr5,7d
success_ratio_7d,0.0,infra2_thr5,7d
