feature,mean_abs_shap,segment,horizon
month,0.2122116495279708,infra2_thr3,7d
days_since_last_incident,0.07822110156146006,infra2_thr3,7d
type_inc_30d_sum,0.05084366699917457,infra2_thr3,7d
succ_30d_sum,0.04592103396734994,infra2_thr3,7d
day_of_month,0.044975215951950864,infra2_thr3,7d
avg_inter_attack_interval,0.044094879442547356,infra2_thr3,7d
attack_rate_trend,0.04270839324245384,infra2_thr3,7d
streak_quiet_days,0.039782538690148084,infra2_thr3,7d
inc_7d_sum,0.032029191017248014,infra2_thr3,7d
success_ratio_7d,0.026789013753189865,infra2_thr3,7d
had_incident_prev_7d,0.024727024621596396,infra2_thr3,7d
inc_30d_sum,0.01729242625570721,infra2_thr3,7d
type_inc_7d_sum,0.014629652402511023,infra2_thr3,7d
inc_3d_sum,0.01341831171434028,infra2_thr3,7d
had_incident_prev_1d,0.005832953597890536,infra2_thr3,7d
day_of_week,0.004441087388116321,infra2_thr3,7d
lag_inc_1d,0.0,infra2_thr3,7d
succ_7d_sum,0.0,infra2_thr3,7d
had_incident_prev_3d,0.0,infra2_thr3,7d
streak_active_days,0.0,infra2_thr3,7d
