feature,mean_abs_shap,segment,horizon
avg_inter_attack_interval,0.35515428838996327,infra3_thr3,24h
day_of_week,0.31630210459080565,infra3_thr3,24h
succ_30d_sum,0.20356893642613333,infra3_thr3,24h
day_of_month,0.08782037753019772,infra3_thr3,24h
inc_30d_sum,0.07908068020253978,infra3_thr3,24h
type_inc_30d_sum,0.06188457823297991,infra3_thr3,24h
month,0.06154012011702458,infra3_thr3,24h
streak_quiet_days,0.054756147811627645,infra3_thr3,24h
days_since_last_incident,0.05315720582116225,infra3_thr3,24h
type_inc_7d_sum,0.03943002552075152,infra3_thr3,24h
attack_rate_trend,0.03275556738914109,infra3_thr3,24h
had_incident_prev_7d,0.027637097806768963,infra3_thr3,24h
had_incident_prev_3d,0.020584696203350315,infra3_thr3,24h
success_ratio_7d,0.01910737669681696,infra3_thr3,24h
inc_3d_sum,0.01751139729654842,infra3_thr3,24h
had_incident_prev_1d,0.01683824139706924,infra3_thr3,24h
inc_7d_sum,0.010245868613096162,infra3_thr3,24h
succ_7d_sum,0.004918947254820714,infra3_thr3,24h
streak_active_days,0.002366476169101209,infra3_thr3,24h
lag_inc_1d,0.0,infra3_thr3,24h
