feature,mean_abs_shap,segment,horizon
avg_inter_attack_interval,0.3407710570814869,infra4_thr1,7d
month,0.31347322893048807,infra4_thr1,7d
type_inc_30d_sum,0.2588138951982442,infra4_thr1,7d
succ_30d_sum,0.20999314464901675,infra4_thr1,7d
attack_rate_trend,0.1867007801382412,infra4_thr1,7d
type_inc_7d_sum,0.14952575281296449,infra4_thr1,7d
days_since_last_incident,0.14667872691225992,infra4_thr1,7d
streak_quiet_days,0.1311697636119034,infra4_thr1,7d
day_of_month,0.0767156685918093,infra4_thr1,7d
days_since_last_success,0.05504755192038048,infra4_thr1,7d
inc_30d_sum,0.03849568744820143,infra4_thr1,7d
had_incident_prev_7d,0.0341298485743039,infra4_thr1,7d
had_incident_prev_3d,0.02836419475185373,infra4_thr1,7d
inc_7d_sum,0.02512639267571497,infra4_thr1,7d
success_ratio_7d,0.020104227334555927,infra4_thr1,7d
day_of_week,0.016189665730752614,infra4_thr1,7d
inc_3d_sum,0.0150882806741631,infra4_thr1,7d
had_incident_prev_1d,0.013818505998416424,infra4_thr1,7d
succ_7d_sum,0.004943400537140268,infra4_thr1,7d
lag_inc_1d,0.0,infra4_thr1,7d
streak_active_days,0.0,infra4_thr1,7d
