feature,mean_abs_shap,segment,horizon
month,0.021224332332239082,infra4_thr2,24h
day_of_month,0.014464261786085716,infra4_thr2,24h
day_of_week,0.012354257999942058,infra4_thr2,24h
type_inc_7d_sum,0.005515806575918172,infra4_thr2,24h
succ_30d_sum,0.0024343378551394354,infra4_thr2,24h
inc_3d_sum,0.00158353333334437,infra4_thr2,24h
streak_quiet_days,0.0010282162591521682,infra4_thr2,24h
lag_inc_1d,0.0,infra4_thr2,24h
succ_7d_sum,0.0,infra4_thr2,24h
had_incident_prev_1d,0.0,infra4_thr2,24h
inc_30d_sum,0.0,infra4_thr2,24h
inc_7d_sum,0.0,infra4_thr2,24h
had_incident_prev_7d,0.0,infra4_thr2,24h
had_incident_prev_3d,0.0,infra4_thr2,24h
type_inc_30d_sum,0.0,infra4_thr2,24h
days_since_last_incident,0.0,infra4_thr2,24h
avg_inter_attack_interval,0.0,infra4_thr2,24h
attack_rate_trend,0.0,infra4_thr2,24h
streak_active_days,0.0,infra4_thr2,24h
success_ratio_7d,0.0,infra4_thr2,24h
