feature,mean_abs_shap,segment,horizon
avg_inter_attack_interval,1.0392367569198282,infra1_thr4,7d
month,0.19843211893383458,infra1_thr4,7d
days_since_last_success,0.18921366367378273,infra1_thr4,7d
succ_30d_sum,0.1560677638003187,infra1_thr4,7d
day_of_month,0.1452221919075091,infra1_thr4,7d
type_inc_30d_sum,0.12853911658990105,infra1_thr4,7d
type_inc_7d_sum,0.08279324278446926,infra1_thr4,7d
had_incident_prev_7d,0.06654802437052282,infra1_thr4,7d
inc_30d_sum,0.05788116792791024,infra1_thr4,7d
streak_quiet_days,0.04956645611640588,infra1_thr4,7d
attack_rate_trend,0.04878633773662712,infra1_thr4,7d
days_since_last_incident,0.04690512745695607,infra1_thr4,7d
day_of_week,0.0418262157129716,infra1_thr4,7d
inc_7d_sum,0.03312982253186108,infra1_thr4,7d
success_ratio_7d,0.03281215601107907,infra1_thr4,7d
succ_7d_sum,0.018511664892166282,infra1_thr4,7d
inc_3d_sum,0.012962122219926927,infra1_thr4,7d
had_incident_prev_3d,0.006519643661880872,infra1_thr4,7d
had_incident_prev_1d,0.003984574834956094,infra1_thr4,7d
lag_inc_1d,0.0007834612588070369,infra1_thr4,7d
streak_active_days,0.0,infra1_thr4,7d
