feature,mean_abs_shap,segment,horizon
type_inc_7d_sum,0.09343664519059242,infra1_thr2,24h
inc_30d_sum,0.07463995674745084,infra1_thr2,24h
month,0.05135154513840012,infra1_thr2,24h
had_incident_prev_7d,0.048712685369432775,infra1_thr2,24h
days_since_last_incident,0.04804692158619496,infra1_thr2,24h
succ_30d_sum,0.038875948737034975,infra1_thr2,24h
avg_inter_attack_interval,0.02867885007889546,infra1_thr2,24h
attack_rate_trend,0.027331920140653238,infra1_thr2,24h
success_ratio_7d,0.024710568058378703,infra1_thr2,24h
day_of_month,0.01998245130423365,infra1_thr2,24h
type_inc_30d_sum,0.017419211849768343,infra1_thr2,24h
day_of_week,0.015469329350771705,infra1_thr2,24h
had_incident_prev_3d,0.013592428319946575,infra1_thr2,24h
streak_quiet_days,0.009831628945081333,infra1_thr2,24h
inc_3d_sum,0.00656762695695907,infra1_thr2,24h
succ_7d_sum,0.006426109515681402,infra1_thr2,24h
had_incident_prev_1d,0.0044593938162144145,infra1_thr2,24h
inc_7d_sum,0.0035019590953355474,infra1_thr2,24h
lag_inc_1d,0.0,infra1_thr2,24h
streak_active_days,0.0,infra1_thr2,24h
