feature,mean_abs_shap,segment,horizon
succ_30d_sum,0.15499426968332236,infra4_thr4,7d
day_of_month,0.10712572360581857,infra4_thr4,7d
avg_inter_attack_interval,0.07788920809527689,infra4_thr4,7d
inc_30d_sum,0.06028968666912771,infra4_thr4,7d
type_inc_30d_sum,0.0525185861011791,infra4_thr4,7d
days_since_last_incident,0.040696269692373964,infra4_thr4,7d
type_inc_7d_sum,0.031987257880693,infra4_thr4,7d
streak_quiet_days,0.028900322891257543,infra4_thr4,7d
inc_7d_sum,0.02572540760082729,infra4_thr4,7d
month,0.018719100659486534,infra4_thr4,7d
succ_7d_sum,0.010534065432042097,infra4_thr4,7d
had_incident_prev_3d,0.0049690309563823415,infra4_thr4,7d
attack_rate_trend,0.004731984259422893,infra4_thr4,7d
day_of_week,0.004518670643184426,infra4_thr4,7d
inc_3d_sum,0.000703380099619973,infra4_thr4,7d
lag_inc_1d,0.0,infra4_thr4,7d
had_incident_prev_7d,0.0,infra4_thr4,7d
had_incident_prev_1d,0.0,infra4_thr4,7d
streak_active_days,0.0,infra4_thr4,7d
success_ratio_7d,0.0,infra4_thr4,7d
