feature,mean_abs_shap,segment,horizon
avg_inter_attack_interval,0.1272095442287845,infra3_thr5,24h
day_of_month,0.021961183307064508,infra3_thr5,24h
day_of_week,0.020757783016078068,infra3_thr5,24h
success_ratio_7d,0.010316998181118779,infra3_thr5,24h
type_inc_7d_sum,0.010125401377239277,infra3_thr5,24h
inc_30d_sum,0.006975201347539119,infra3_thr5,24h
inc_3d_sum,0.006524324042326694,infra3_thr5,24h
succ_7d_sum,0.0008787143647507452,infra3_thr5,24h
succ_30d_sum,0.00044948266231429354,infra3_thr5,24h
attack_rate_trend,6.412581099798376e-05,infra3_thr5,24h
lag_inc_1d,0.0,infra3_thr5,24h
month,0.0,infra3_thr5,24h
had_incident_prev_7d,0.0,infra3_thr5,24h
had_incident_prev_3d,0.0,infra3_thr5,24h
had_incident_prev_1d,0.0,infra3_thr5,24h
inc_7d_sum,0.0,infra3_thr5,24h
type_inc_30d_sum,0.0,infra3_thr5,24h
days_since_last_incident,0.0,infra3_thr5,24h
streak_active_days,0.0,infra3_thr5,24h
streak_quiet_days,0.0,infra3_thr5,24h
