feature,mean_abs_shap,segment,horizon
avg_inter_attack_interval,0.5854325512094366,infra3_thr1,7d
inc_30d_sum,0.2738570304735311,infra3_thr1,7d
day_of_month,0.2059370728206402,infra3_thr1,7d
month,0.19807189649424642,infra3_thr1,7d
type_inc_7d_sum,0.11499819606048232,infra3_thr1,7d
days_since_last_incident,0.08530499907406022,infra3_thr1,7d
streak_quiet_days,0.07439722265739829,infra3_thr1,7d
type_inc_30d_sum,0.052999245334710066,infra3_thr1,7d
succ_30d_sum,0.04762600261461176,infra3_thr1,7d
attack_rate_trend,0.019601486893579295,infra3_thr1,7d
success_ratio_7d,0.011825224380305087,infra3_thr1,7d
day_of_week,0.010799152881429559,infra3_thr1,7d
inc_7d_sum,0.008262145176060604,infra3_thr1,7d
had_incident_prev_7d,0.0078102179785475645,infra3_thr1,7d
succ_7d_sum,0.0064557257627584855,infra3_thr1,7d
had_incident_prev_3d,0.003856650038872713,infra3_thr1,7d
had_incident_prev_1d,0.0032887361262369423,infra3_thr1,7d
inc_3d_sum,0.0024726588226793157,infra3_thr1,7d
streak_active_days,0.0009498951686661018,infra3_thr1,7d
lag_inc_1d,0.0,infra3_thr1,7d
