feature,mean_abs_shap,segment,horizon
month,0.07548964813890316,infra2_thr5,24h
avg_inter_attack_interval,0.05477866303820714,infra2_thr5,24h
succ_7d_sum,0.04830879035042526,infra2_thr5,24h
day_of_month,0.043712124835130664,infra2_thr5,24h
day_of_week,0.03170482033879988,infra2_thr5,24h
inc_30d_sum,0.029815532538335424,infra2_thr5,24h
succ_30d_sum,0.029411042913897553,infra2_thr5,24h
success_ratio_7d,0.026815947688263897,infra2_thr5,24h
inc_7d_sum,0.021840541555977405,infra2_thr5,24h
streak_quiet_days,0.02104198847646274,infra2_thr5,24h
type_inc_30d_sum,0.020537157870343773,infra2_thr5,24h
inc_3d_sum,0.011519541045177766,infra2_thr5,24h
days_since_last_success,0.008613140439627331,infra2_thr5,24h
had_incident_prev_3d,0.007515672814763938,infra2_thr5,24h
had_incident_prev_7d,0.007329740151707566,infra2_thr5,24h
attack_rate_trend,0.005686760286811536,infra2_thr5,24h
days_since_last_incident,0.003446406984473861,infra2_thr5,24h
had_incident_prev_1d,0.002781668179951729,infra2_thr5,24h
type_inc_7d_sum,0.00012628118243229836,infra2_thr5,24h
lag_inc_1d,0.0,infra2_thr5,24h
streak_active_days,0.0,infra2_thr5,24h
