feature,mean_abs_shap,segment,horizon
type_inc_7d_sum,0.01028669271740124,infra2_thr1,24h
succ_30d_sum,0.003084303241720115,infra2_thr1,24h
day_of_month,0.003013853196925233,infra2_thr1,24h
inc_3d_sum,0.001141464052826039,infra2_thr1,24h
lag_inc_1d,0.0,infra2_thr1,24h
month,0.0,infra2_thr1,24h
day_of_week,0.0,infra2_thr1,24h
inc_30d_sum,0.0,infra2_thr1,24h
succ_7d_sum,0.0,infra2_thr1,24h
had_incident_prev_1d,0.0,infra2_thr1,24h
had_incident_prev_3d,0.0,infra2_thr1,24h
inc_7d_sum,0.0,infra2_thr1,24h
had_incident_prev_7d,0.0,infra2_thr1,24h
days_since_last_incident,0.0,infra2_thr1,24h
type_inc_30d_sum,0.0,infra2_thr1,24h
avg_inter_attack_interval,0.0,infra2_thr1,24h
attack_rate_trend,0.0,infra2_thr1,24h
streak_active_days,0.0,infra2_thr1,24h
streak_quiet_days,0.0,infra2_thr1,24h
success_ratio_7d,0.0,infra2_thr1,24h
