iter	Logloss
0	0.6820052213
1	0.6714218368
2	0.6672270569
3	0.6608334767
4	0.651661511
5	0.6427015907
6	0.6362698702
7	0.6301485023
8	0.6214785834
9	0.6142896821
10	0.6073016694
11	0.5989308148
12	0.5932159892
13	0.5910105154
14	0.587757577
15	0.5838430754
16	0.5795844798
17	0.575132343
18	0.5692441576
19	0.5633842855
20	0.559656801
21	0.5567409533
22	0.5524687216
23	0.548203681
24	0.5423893394
25	0.5402234282
26	0.5380310707
27	0.5357362354
28	0.5329319905
29	0.5284796119
30	0.5240807252
31	0.5202055453
32	0.5170077125
33	0.5153836053
34	0.511593944
35	0.5099942238
36	0.5087227541
37	0.5064394661
38	0.5047061476
39	0.5023762526
40	0.5000200435
41	0.495600131
42	0.493994447
43	0.4877368569
44	0.4857823756
45	0.4844242861
46	0.4808674934
47	0.4779239658
48	0.474864738
49	0.4734720653
50	0.4690543624
51	0.46832577
52	0.464670652
53	0.4621823224
54	0.460933991
55	0.4573982311
56	0.4520724933
57	0.4498390774
